departamento,tecnologia,produccion_mwh,fecha,mes,año,trimestre,semana,estacion
Atlántico,Solar,1033,2024-01-01,1,2024,1,1,Invierno
Cesar,Eólica,413,2024-01-08,1,2024,1,2,Invierno
La Guajira,Solar,695,2024-01-15,1,2024,1,3,Invierno
La Guajira,Solar,1290,2024-01-22,1,2024,1,4,Invierno
Cesar,Eólica,748,2024-01-29,1,2024,1,5,Invierno
Atlántico,Eólica,1412,2024-02-05,2,2024,1,6,Invierno
Cesar,Eólica,1542,2024-02-12,2,2024,1,7,Invierno
Atlántico,Solar,1902,2024-02-19,2,2024,1,8,Invierno
Cesar,Eólica,1403,2024-02-26,2,2024,1,9,Invierno
La Guajira,Solar,1779,2024-03-04,3,2024,1,10,Primavera
La Guajira,Solar,851,2024-03-11,3,2024,1,11,Primavera
Atlántico,Eólica,1211,2024-03-18,3,2024,1,12,Primavera
La Guajira,Eólica,1917,2024-03-25,3,2024,1,13,Primavera
Cesar,Solar,343,2024-04-01,4,2024,2,14,Primavera
Atlántico,Eólica,1472,2024-04-08,4,2024,2,15,Primavera
La Guajira,Eólica,686,2024-04-15,4,2024,2,16,Primavera
Magdalena,Eólica,1314,2024-04-22,4,2024,2,17,Primavera
Atlántico,Eólica,1426,2024-04-29,4,2024,2,18,Primavera
Magdalena,Solar,1028,2024-05-06,5,2024,2,19,Primavera
La Guajira,Solar,1852,2024-05-13,5,2024,2,20,Primavera
Magdalena,Eólica,1275,2024-05-20,5,2024,2,21,Primavera
Atlántico,Eólica,795,2024-05-27,5,2024,2,22,Primavera
Magdalena,Solar,1445,2024-06-03,6,2024,2,23,Verano
La Guajira,Solar,1493,2024-06-10,6,2024,2,24,Verano
Cesar,Solar,1969,2024-06-17,6,2024,2,25,Verano
La Guajira,Solar,1895,2024-06-24,6,2024,2,26,Verano
Magdalena,Eólica,996,2024-07-01,7,2024,3,27,Verano
La Guajira,Eólica,1377,2024-07-08,7,2024,3,28,Verano
Atlántico,Eólica,561,2024-07-15,7,2024,3,29,Verano
Magdalena,Solar,1898,2024-07-22,7,2024,3,30,Verano
Magdalena,Eólica,664,2024-07-29,7,2024,3,31,Verano
La Guajira,Solar,569,2024-08-05,8,2024,3,32,Verano
Cesar,Solar,1578,2024-08-12,8,2024,3,33,Verano
Cesar,Eólica,1638,2024-08-19,8,2024,3,34,Verano
Atlántico,Eólica,1712,2024-08-26,8,2024,3,35,Verano
Atlántico,Solar,249,2024-09-02,9,2024,3,36,Otoño
Cesar,Eólica,815,2024-09-09,9,2024,3,37,Otoño
Magdalena,Eólica,363,2024-09-16,9,2024,3,38,Otoño
La Guajira,Solar,177,2024-09-23,9,2024,3,39,Otoño
Magdalena,Eólica,812,2024-09-30,9,2024,3,40,Otoño
Atlántico,Solar,1199,2024-10-07,10,2024,4,41,Otoño
Atlántico,Solar,1456,2024-10-14,10,2024,4,42,Otoño
Atlántico,Eólica,1167,2024-10-21,10,2024,4,43,Otoño
Cesar,Eólica,632,2024-10-28,10,2024,4,44,Otoño
Cesar,Eólica,1666,2024-11-04,11,2024,4,45,Otoño
Atlántico,Solar,1672,2024-11-11,11,2024,4,46,Otoño
Magdalena,Eólica,971,2024-11-18,11,2024,4,47,Otoño
Atlántico,Eólica,1899,2024-11-25,11,2024,4,48,Otoño
Atlántico,Solar,1937,2024-12-02,12,2024,4,49,Invierno
La Guajira,Eólica,1064,2024-12-09,12,2024,4,50,Invierno
La Guajira,Solar,1322,2024-01-01,1,2024,1,1,Invierno
Cesar,Eólica,2220,2024-01-01,1,2024,1,1,Invierno
Cesar,Eólica,1332,2024-01-01,1,2024,1,1,Invierno
La Guajira,Solar,1537,2024-01-01,1,2024,1,1,Invierno
Magdalena,Eólica,1019,2024-01-01,1,2024,1,1,Invierno
La Guajira,Solar,1099,2024-01-01,1,2024,1,1,Invierno
Magdalena,Eólica,491,2024-01-01,1,2024,1,1,Invierno
Cesar,Eólica,1089,2024-01-02,1,2024,1,1,Invierno
La Guajira,Solar,1348,2024-01-02,1,2024,1,1,Invierno
Cesar,Eólica,115,2024-01-02,1,2024,1,1,Invierno
La Guajira,Eólica,1870,2024-01-02,1,2024,1,1,Invierno
Atlántico,Eólica,1014,2024-01-02,1,2024,1,1,Invierno
Magdalena,Solar,1487,2024-01-03,1,2024,1,1,Invierno
Atlántico,Eólica,1217,2024-01-03,1,2024,1,1,Invierno
Magdalena,Solar,1089,2024-01-03,1,2024,1,1,Invierno
Atlántico,Eólica,1372,2024-01-04,1,2024,1,1,Invierno
Cesar,Solar,100,2024-01-04,1,2024,1,1,Invierno
Cesar,Solar,1258,2024-01-04,1,2024,1,1,Invierno
La Guajira,Solar,1123,2024-01-04,1,2024,1,1,Invierno
Cesar,Eólica,1776,2024-01-05,1,2024,1,1,Invierno
Magdalena,Solar,1646,2024-01-05,1,2024,1,1,Invierno
Atlántico,Eólica,698,2024-01-05,1,2024,1,1,Invierno
La Guajira,Eólica,2261,2024-01-05,1,2024,1,1,Invierno
Cesar,Eólica,719,2024-01-06,1,2024,1,1,Invierno
Cesar,Eólica,1429,2024-01-06,1,2024,1,1,Invierno
Magdalena,Solar,1625,2024-01-06,1,2024,1,1,Invierno
La Guajira,Solar,100,2024-01-06,1,2024,1,1,Invierno
La Guajira,Eólica,1444,2024-01-06,1,2024,1,1,Invierno
Magdalena,Solar,2113,2024-01-06,1,2024,1,1,Invierno
La Guajira,Eólica,1285,2024-01-06,1,2024,1,1,Invierno
Magdalena,Eólica,1036,2024-01-06,1,2024,1,1,Invierno
La Guajira,Solar,556,2024-01-07,1,2024,1,1,Invierno
Cesar,Solar,1998,2024-01-07,1,2024,1,1,Invierno
La Guajira,Eólica,1497,2024-01-07,1,2024,1,1,Invierno
La Guajira,Solar,1676,2024-01-07,1,2024,1,1,Invierno
Cesar,Eólica,515,2024-01-07,1,2024,1,1,Invierno
Cesar,Solar,1736,2024-01-08,1,2024,1,2,Invierno
La Guajira,Solar,1253,2024-01-08,1,2024,1,2,Invierno
Atlántico,Solar,1355,2024-01-08,1,2024,1,2,Invierno
Cesar,Solar,310,2024-01-08,1,2024,1,2,Invierno
Magdalena,Solar,680,2024-01-09,1,2024,1,2,Invierno
Atlántico,Solar,1214,2024-01-09,1,2024,1,2,Invierno
La Guajira,Solar,1596,2024-01-09,1,2024,1,2,Invierno
La Guajira,Eólica,876,2024-01-09,1,2024,1,2,Invierno
La Guajira,Solar,720,2024-01-09,1,2024,1,2,Invierno
La Guajira,Eólica,2165,2024-01-09,1,2024,1,2,Invierno
Cesar,Solar,597,2024-01-10,1,2024,1,2,Invierno
La Guajira,Solar,997,2024-01-10,1,2024,1,2,Invierno
Cesar,Eólica,769,2024-01-10,1,2024,1,2,Invierno
Magdalena,Eólica,2040,2024-01-10,1,2024,1,2,Invierno
La Guajira,Eólica,2039,2024-01-10,1,2024,1,2,Invierno
Atlántico,Eólica,1228,2024-01-11,1,2024,1,2,Invierno
Atlántico,Eólica,1217,2024-01-11,1,2024,1,2,Invierno
Magdalena,Eólica,1114,2024-01-11,1,2024,1,2,Invierno
Magdalena,Eólica,1088,2024-01-11,1,2024,1,2,Invierno
La Guajira,Solar,1203,2024-01-11,1,2024,1,2,Invierno
Magdalena,Eólica,1242,2024-01-11,1,2024,1,2,Invierno
Cesar,Solar,590,2024-01-12,1,2024,1,2,Invierno
Cesar,Solar,100,2024-01-12,1,2024,1,2,Invierno
Cesar,Solar,265,2024-01-12,1,2024,1,2,Invierno
Magdalena,Eólica,1273,2024-01-12,1,2024,1,2,Invierno
Magdalena,Eólica,309,2024-01-12,1,2024,1,2,Invierno
Magdalena,Eólica,1012,2024-01-12,1,2024,1,2,Invierno
Atlántico,Eólica,1428,2024-01-13,1,2024,1,2,Invierno
Magdalena,Eólica,1927,2024-01-13,1,2024,1,2,Invierno
Atlántico,Eólica,2543,2024-01-13,1,2024,1,2,Invierno
Atlántico,Solar,2448,2024-01-13,1,2024,1,2,Invierno
La Guajira,Solar,2275,2024-01-13,1,2024,1,2,Invierno
Atlántico,Eólica,1656,2024-01-13,1,2024,1,2,Invierno
La Guajira,Solar,1955,2024-01-14,1,2024,1,2,Invierno
Magdalena,Eólica,1217,2024-01-14,1,2024,1,2,Invierno
