municipio,departamento,pobreza,acceso_internet,empleo_tech
Municipio_1,Atlántico,20.360319878441718,51.648885265633666,243
Municipio_2,La Guajira,48.36170087971382,46.478709073346806,509
Municipio_3,La Guajira,38.82563230649684,34.43813961103219,921
Municipio_4,Magdalena,50.583702809619936,39.12822950355374,824
Municipio_5,La Guajira,38.69570732588208,39.69711148534543,605
Municipio_6,Atlántico,30.76004205031312,86.32270198227118,726
Municipio_7,Magdalena,53.267703560262,52.268034057328094,850
Municipio_8,Cesar,42.05299764791812,33.00108515329456,656
Municipio_9,La Guajira,22.803259841305167,74.45733334415306,137
Municipio_10,Atlántico,38.8990015200185,47.92081452627616,250
Municipio_11,Cesar,49.71059320348366,42.2614876717131,575
Municipio_12,Atlántico,27.67824312949722,88.90539847119788,538
Municipio_13,La Guajira,38.57246013462549,83.58127273177715,432
Municipio_14,Magdalena,29.214512334902004,75.56092769737967,624
Municipio_15,La Guajira,40.32990150269156,69.06723353416717,476
Municipio_16,La Guajira,28.342732466168563,32.38101012394358,415
Municipio_17,La Guajira,21.97216979012631,78.83258191034025,827
Municipio_18,La Guajira,40.75447503455608,75.75438808002386,523
Municipio_19,Atlántico,26.891134089195766,57.316948019279124,737
Municipio_20,Magdalena,35.85253150052159,61.90958708015806,143
Municipio_21,La Guajira,24.294612118097092,36.560164055114335,560
Municipio_22,Atlántico,40.392411126557306,38.76196475929372,982
Municipio_23,La Guajira,24.08540930152772,60.527324326760265,906
Municipio_24,Magdalena,31.548713308224396,42.93901685416747,703
Municipio_25,Cesar,29.270338580853334,84.98662218566218,724
Municipio_26,Atlántico,58.70671714604821,57.729150771313705,353
Municipio_27,Magdalena,31.1327535284082,37.93603646740384,937
Municipio_28,La Guajira,29.344900929684542,75.85449652526566,838
Municipio_29,La Guajira,23.662257667112133,42.76402188675888,517
Municipio_30,Cesar,42.80266641664378,34.455506001490654,271
Municipio_31,Magdalena,36.71706156761354,35.72515491519371,510
Municipio_32,Magdalena,34.713729625537184,39.73233062023065,796
Municipio_33,Magdalena,52.519798815438946,51.3878208072402,685
Municipio_34,La Guajira,31.59040010958143,35.71846863839979,408
Municipio_35,Atlántico,48.695664050312395,38.59578036968452,701
Municipio_36,Magdalena,44.517923709112594,85.86077599501351,639
Municipio_37,Magdalena,37.07639302716906,64.59505298346443,143
Municipio_38,Magdalena,50.0749187907939,80.37871282911657,101
Municipio_39,Magdalena,37.112505303692885,67.39752676932369,438
